rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate
1337,ToxicTroller,troll,EMERALD,62,189,26,98,13.8,51.9
1338,happyhour,JP9,EMERALD,62,95,13,57,13.7,60.0
1339,誰よPEG32,8579,EMERALD,61,66,16,42,24.2,63.6
1340,mikochan001,09009,EMERALD,61,120,8,74,6.7,61.7
1341,Cosmic Elevator,0924,EMERALD,60,200,28,106,14.0,53.0
1342,たらこ,9128,EMERALD,59,176,37,98,21.0,55.7
1343,futagorou,8700,EMERALD,59,68,17,43,25.0,63.2
1344,スナクジラ,4586,EMERALD,59,104,20,64,19.2,61.5
1345,muku9,5555,EMERALD,58,108,18,63,16.7,58.3
1346,ジーニアスボーイ,JP1,EMERALD,57,128,16,73,12.5,57.0
1347,ETUDE,JP1,EMERALD,57,71,14,46,19.7,64.8
1348,4419,1038,EMERALD,56,280,21,157,7.5,56.1
1349,2HS,8209,EMERALD,56,115,11,67,9.6,58.3
1350,DangoAnciao,56246,EMERALD,56,47,20,40,42.6,85.1
1351,sito,1225,EMERALD,55,218,40,107,18.3,49.1
1352,LastRemote,Ostar,EMERALD,55,117,23,66,19.7,56.4
1353,ｷﾚｼﾞ on Fire,JP1,EMERALD,53,92,11,56,12.0,60.9
1354,blacky48,4581,EMERALD,53,190,33,105,17.4,55.3
1355,dinog,flow,EMERALD,53,156,21,81,13.5,51.9
1356,あいす,7067,EMERALD,53,141,22,79,15.6,56.0
1357,Im behind ,JP1,EMERALD,52,116,15,68,12.9,58.6
1358,SiciliaSun,7620,EMERALD,52,46,14,32,30.4,69.6
1359,marshtomp,1709,EMERALD,51,69,15,40,21.7,58.0
1360,miruton tonton,3683,EMERALD,50,84,16,50,19.0,59.5
1361,numeros,4005,EMERALD,49,80,18,49,22.5,61.3
1362,drmday,8787,EMERALD,49,64,13,37,20.3,57.8
1363,エイジア,6455,EMERALD,49,134,15,74,11.2,55.2
1364,Ponty,777,EMERALD,48,130,30,63,23.1,48.5
1365,ひこぼしゆうき,MNM,EMERALD,48,325,54,164,16.6,50.5
1366,Zeffar,JP1,EMERALD,48,153,15,86,9.8,56.2
1367,Elcaro,KEL,EMERALD,48,80,17,46,21.2,57.5
1368,原深を知らない,JP1,EMERALD,48,125,18,70,14.4,56.0
1369,chairuu,3360,EMERALD,48,100,14,59,14.0,59.0
1370,とあるK君,JP1,EMERALD,47,137,21,83,15.3,60.6
1371,小さき者,JP1,EMERALD,47,162,21,83,13.0,51.2
1372,HonamiDevil,3057,EMERALD,46,149,16,80,10.7,53.7
1373,kurogoma702,JP1,EMERALD,46,85,16,49,18.8,57.6
1374,Vona,225,EMERALD,46,140,20,74,14.3,52.9
1375,えぬがわ,JP1,EMERALD,44,217,42,112,19.4,51.6
1376,E4syTIM,E4syt,EMERALD,44,219,33,121,15.1,55.3
1377,GIONMOARI,5133,EMERALD,44,151,22,78,14.6,51.7
1378,瀬戸内ジャックショーVT,中尊寺,EMERALD,44,146,12,85,8.2,58.2
1379,蛸葦廃船,083jp,EMERALD,44,74,17,45,23.0,60.8
1380,quLoah,lol,EMERALD,44,89,14,53,15.7,59.6
1381,revive,JP1,EMERALD,43,143,22,74,15.4,51.7
1382,apoptosis,1939,EMERALD,43,90,16,50,17.8,55.6
1383,Syeelp,0304,EMERALD,42,140,20,78,14.3,55.7
1384,鱶鰭太郎,hanak,EMERALD,41,54,16,36,29.6,66.7
1385,ファイナルシティ交通,3558,EMERALD,41,119,22,69,18.5,58.0
1386,Sakü,数 理,EMERALD,41,115,14,62,12.2,53.9
1387,hanihoho,JP1,EMERALD,39,58,13,36,22.4,62.1
1388,gondou,JP1,EMERALD,39,46,8,35,17.4,76.1
1389,AnchorI,JP1,EMERALD,39,72,9,46,12.5,63.9
1390,相沢みなみ,0114,EMERALD,39,210,33,110,15.7,52.4
1391,0tt0,JP1,EMERALD,38,108,19,60,17.6,55.6
1392,mrrenn,JP1,EMERALD,38,92,12,54,13.0,58.7
1393,わーにんわーにん,2121,EMERALD,38,206,27,114,13.1,55.3
1394,巨大なタライ,攻50,EMERALD,38,175,24,96,13.7,54.9
1395,そらみかん,JP1,EMERALD,37,130,15,69,11.5,53.1
1396,竈門炭次郎,1111,EMERALD,37,183,21,96,11.5,52.5
1397,napoli,JP1,EMERALD,36,214,35,110,16.4,51.4
1398,わしまる,9160,EMERALD,35,61,14,40,23.0,65.6
1399,癖捻剣十性癖,JP1,EMERALD,35,49,9,36,18.4,73.5
1400,クロロクロクロロ,JP1,EMERALD,34,123,16,67,13.0,54.5
1401,玉でか金次郎,JP1,EMERALD,34,114,9,70,7.9,61.4
1402,soarsora,JP1,EMERALD,34,120,14,66,11.7,55.0
1403,kibori,1055,EMERALD,34,133,32,74,24.1,55.6
1404,カオスポッド,8731,EMERALD,33,66,15,45,22.7,68.2
1405,PasaCat,4551,EMERALD,32,191,33,100,17.3,52.4
1406,こんにちは竹中さん,1111,EMERALD,32,90,13,55,14.4,61.1
1407,タル大砲の谷,DK1,EMERALD,31,112,23,65,20.5,58.0
1408,やっちょ8000歳,KAGU,EMERALD,31,187,25,103,13.4,55.1
1409,きーぼー,金融屋,EMERALD,31,191,17,101,8.9,52.9
1410,HUNGRYBUG,9685,EMERALD,31,180,22,105,12.2,58.3
1411,DROUGHT,HDR,EMERALD,31,90,15,51,16.7,56.7
1412,Lefy,hart,EMERALD,31,205,20,108,9.8,52.7
1413,あきも,87805,EMERALD,31,174,20,96,11.5,55.2
1414,kiseno,JP1,EMERALD,30,86,11,54,12.8,62.8
1415,とぅっとぅる,8185,EMERALD,30,161,24,85,14.9,52.8
1416,Gorimatsu JP,JP1,EMERALD,30,93,14,56,15.1,60.2
1417,biki244566,JP1,EMERALD,30,140,15,80,10.7,57.1
1418,しんたそ,6624,EMERALD,30,175,20,92,11.4,52.6
1419,ドダイトスお嬢様,81805,EMERALD,30,165,26,87,15.8,52.7
1420,Himmel64,JP1,EMERALD,29,162,14,91,8.6,56.2
1421,Marshall D Teemo,JP1,EMERALD,29,73,19,40,26.0,54.8
1422,ぷりちぃおねぎ,dosti,EMERALD,27,139,21,74,15.1,53.2
1423,runa,8281,EMERALD,27,77,16,46,20.8,59.7
1424,Alltyu,3748,EMERALD,27,188,27,108,14.4,57.4
1425,ばちらー,007,EMERALD,27,114,12,63,10.5,55.3
1426,おねショウタ,JP1,EMERALD,26,100,19,54,19.0,54.0
1427,すんごくBill男,1111,EMERALD,26,139,17,79,12.2,56.8
1428,星野エビー,JP1,EMERALD,26,142,18,79,12.7,55.6
1429,Photon,ZL24,EMERALD,26,218,30,111,13.8,50.9
1430,yurarara11,JP1,EMERALD,25,45,15,32,33.3,71.1
1431,復活のかふす,3333,EMERALD,24,99,15,53,15.2,53.5
1432,PANPANPANPAN,PAN,EMERALD,24,134,23,74,17.2,55.2
1433,ショウチンのポコ,5331,EMERALD,24,132,23,76,17.4,57.6
1434,yoikagari,0832,EMERALD,24,187,27,100,14.4,53.5
1435,ile,3689,EMERALD,23,210,28,105,13.3,50.0
1436,Shume0124,7289,EMERALD,23,138,15,76,10.9,55.1
1437,だいちんTA,JP1,EMERALD,22,142,14,79,9.9,55.6
1438,デカピクミン,DEKKA,EMERALD,22,186,24,102,12.9,54.8
1439,Another1,8234,EMERALD,22,143,17,80,11.9,55.9
1440,bitter,0522,EMERALD,21,71,13,44,18.3,62.0
1441,にゃんにゃん99号,JP1,EMERALD,21,116,19,64,16.4,55.2
1442,MaxiBoo,KiChi,EMERALD,21,167,24,88,14.4,52.7
1443,kattsu,9447,EMERALD,21,123,20,66,16.3,53.7
1444,hothoooo,9796,EMERALD,20,171,24,87,14.0,50.9
1445,kngty,JP1,EMERALD,20,87,16,51,18.4,58.6
1446,五百城茉央カイ,0729,EMERALD,20,171,29,92,17.0,53.8
1447,ADUCK,8287,EMERALD,20,176,14,100,8.0,56.8
1448,Vanishment,777,EMERALD,19,98,21,56,21.4,57.1
1449,ノブマッソ,JP1,EMERALD,19,125,18,72,14.4,57.6
1450,madeux,ARtft,EMERALD,19,88,17,47,19.3,53.4
1451,おふろ,026,EMERALD,19,114,15,61,13.2,53.5
1452,aoi,0113,EMERALD,19,97,17,59,17.5,60.8
1453,hemi,JP1,EMERALD,18,90,18,51,20.0,56.7
1454,Vu0giu,9230,EMERALD,18,131,20,73,15.3,55.7
1455,nasubi,2149,EMERALD,18,90,13,54,14.4,60.0
1456,HOSHI,7250,EMERALD,18,180,30,96,16.7,53.3
1457,Ninjinman,JP1,EMERALD,17,113,18,63,15.9,55.8
1458,nokotuki,JP1,EMERALD,17,182,24,97,13.2,53.3
1459,pukuta,1434,EMERALD,17,168,30,84,17.9,50.0
1460,ニホンドクタヌキ,JP1,EMERALD,16,128,17,63,13.3,49.2
1461,Nice Guys,888,EMERALD,16,113,19,66,16.8,58.4
1462,オブジェ,JP1,EMERALD,16,171,27,95,15.8,55.6
1463,Ko4mo,Debu,EMERALD,15,73,15,41,20.5,56.2
1464,Jiyorge,123,EMERALD,15,85,14,54,16.5,63.5
1465,グラガスおじさん,JP1,EMERALD,14,102,14,60,13.7,58.8
1466,shika7991,JP1,EMERALD,14,154,18,89,11.7,57.8
1467,Adaptive Helm,6758,EMERALD,13,210,30,115,14.3,54.8
1468,ゆめのよん,JP1,EMERALD,13,92,14,50,15.2,54.3
1469,haitte8110,8110,EMERALD,13,113,20,64,17.7,56.6
1470,kakushoukakkeeee,7152,EMERALD,13,206,19,109,9.2,52.9
1471,いたりん,JP1,EMERALD,12,62,11,40,17.7,64.5
1472,NotNeetYet,Proof,EMERALD,12,79,8,47,10.1,59.5
1473,コハダ,4491,EMERALD,12,111,22,55,19.8,49.5
1474,nanahoshijp2021,2021,EMERALD,11,127,14,73,11.0,57.5
1475,噴火龍果,JP1,EMERALD,11,94,20,52,21.3,55.3
1476,superbluegirl,lose,EMERALD,11,85,14,51,16.5,60.0
1477,フェイスチェックしますね,0000,EMERALD,10,198,16,110,8.1,55.6
1478,shintaxxx,JP1,EMERALD,10,189,28,101,14.8,53.4
1479,mocosan,JP1,EMERALD,10,127,18,74,14.2,58.3
1480,nora013,2979,EMERALD,10,156,8,85,5.1,54.5
1481,11energy,4427,EMERALD,10,80,11,48,13.8,60.0
1482,夏ノ旅,T1WIN,EMERALD,10,89,18,50,20.2,56.2
1483,M1R4I,2240,EMERALD,10,198,28,104,14.1,52.5
1484,medaka,129,EMERALD,9,130,23,71,17.7,54.6
1485,CassiA,doro,EMERALD,8,64,13,38,20.3,59.4
1486,maruhi,169,EMERALD,8,78,9,45,11.5,57.7
1487,Musaxic,JP1,EMERALD,7,78,17,47,21.8,60.3
1488,Call me FB,milo,EMERALD,7,146,14,86,9.6,58.9
1489,LOS VOLTAJE,xxx,EMERALD,7,157,14,86,8.9,54.8
1490,寛和石灯籠弦道,ダイオード,EMERALD,7,138,20,76,14.5,55.1
1491,bubblydisapprove,42965,EMERALD,7,176,20,89,11.4,50.6
1492,Nags,JP1,EMERALD,6,167,16,94,9.6,56.3
1493,hohe,qas,EMERALD,6,104,17,57,16.3,54.8
1494,おちゃんこ学部どすこい学科,超横綱級,EMERALD,6,147,19,80,12.9,54.4
1495,雀蜂雷公鞭,lol,EMERALD,6,160,16,95,10.0,59.4
1496,イブプロフェン,JP1,EMERALD,5,69,14,42,20.3,60.9
1497,サブカルメンヘラ,JP1,EMERALD,5,92,15,51,16.3,55.4
1498,落下星,JP1,EMERALD,5,133,23,70,17.3,52.6
1499,ponzu,0014,EMERALD,5,177,24,99,13.6,55.9
1500,K0D,hp36,EMERALD,5,83,17,50,20.5,60.2
1501,空飛ぶ宝石,れのんくん,EMERALD,4,145,11,74,7.6,51.0
1502,永山陽介,JP1,EMERALD,4,147,19,81,12.9,55.1
1503,臥煙12,gaen2,EMERALD,4,114,18,67,15.8,58.8
1504,ひらーぱ,555,EMERALD,4,160,18,89,11.2,55.6
1505,habutaemochi,7449,EMERALD,4,83,14,49,16.9,59.0
1506,kyabetsuuuuu,JP1,EMERALD,4,220,27,111,12.3,50.5
1507,morigamesh,1122,EMERALD,4,161,22,86,13.7,53.4
1508,RELLANA,rk1,EMERALD,3,171,18,91,10.5,53.2
1509,24saimusyoku,JP1,EMERALD,3,197,25,100,12.7,50.8
1510,xXゼノールXx,3678,EMERALD,3,186,26,101,14.0,54.3
1511,가나무,JPN,EMERALD,3,155,22,85,14.2,54.8
1512,esamMK2,6843,EMERALD,3,114,15,68,13.2,59.6
1513,Lil gashima,7343,EMERALD,3,79,17,49,21.5,62.0
1514,ゲソ丸,48g,EMERALD,3,45,13,34,28.9,75.6
1515,リトルトゥミタ,2415,EMERALD,2,226,34,116,15.0,51.3
1516,中卒1パチ大好き期間工,mkt,EMERALD,1,46,12,30,26.1,65.2
1517,jincrorojp,JP1,EMERALD,0,184,25,101,13.6,54.9
1518,kagaminn,JP1,EMERALD,0,193,25,105,13.0,54.4
1519,lilwalo,JP1,EMERALD,0,92,26,49,28.3,53.3
1520,metao,4996,EMERALD,0,134,14,74,10.4,55.2
1521,6256,mtgr,EMERALD,0,256,29,130,11.3,50.8
1522,さふぇ39,JP1,EMERALD,0,202,29,104,14.4,51.5
1523,yunAeriaI,JP1,EMERALD,0,258,22,131,8.5,50.8
1524,kino,moc,EMERALD,0,97,12,56,12.4,57.7
1525,kolaghancommand,JP1,EMERALD,0,95,11,53,11.6,55.8
1526,もんちゃんなう,JP1,EMERALD,0,113,14,60,12.4,53.1
1527,お絵描きの森,JP1,EMERALD,0,110,21,61,19.1,55.5
1528,breastar,JP1,EMERALD,0,82,15,49,18.3,59.8
1529,柴犬にこちゃん,JP111,EMERALD,0,51,12,34,23.5,66.7
1530,スピキヲイジメヌンデ,伝説ペット,EMERALD,0,132,23,66,17.4,50.0
1531,tarako,444,EMERALD,0,238,36,120,15.1,50.4
1532,at 4am,JP1,EMERALD,0,56,12,36,21.4,64.3
1533,anls,JP1,EMERALD,0,143,26,78,18.2,54.5
1534,最高速度でブチ抜いたる,さぁ行こう,EMERALD,0,297,39,148,13.1,49.8
1535,snoyyy,6191,EMERALD,0,88,21,51,23.9,58.0
1536,クランチー,JP1,EMERALD,0,163,30,79,18.4,48.5
1537,宇治抹茶餡蜜,JP1,EMERALD,0,80,8,51,10.0,63.7
1538,luissssssss,such,EMERALD,0,96,18,66,18.8,68.8
1539,amuro roy,JP1,EMERALD,0,85,12,51,14.1,60.0
1540,ripe,9085,EMERALD,0,89,18,57,20.2,64.0
1541,Z03,6905,EMERALD,0,81,15,46,18.5,56.8
1542,SpecialThanks,8640,EMERALD,0,149,22,82,14.8,55.0
1543,ringoomikan,JP1,EMERALD,0,101,17,60,16.8,59.4
1544,4LA,6168,EMERALD,0,134,24,69,17.9,51.5
1545,Queencard,GIDLE,EMERALD,0,78,14,48,17.9,61.5
1546,ヴエ口エルコ,度し難い,EMERALD,0,175,23,101,13.1,57.7
1547,wings of piano,mugi,EMERALD,0,43,9,31,20.9,72.1
1548,mithukan,5975,EMERALD,0,256,32,129,12.5,50.4
1549,watermelon,3496,EMERALD,0,79,9,49,11.4,62.0
1550,こがら,145,EMERALD,0,72,5,46,6.9,63.9
1551,yamaken,123,EMERALD,0,109,16,64,14.7,58.7
1552,ダカ夫くん,7414,EMERALD,0,96,18,57,18.8,59.4
1553,takodesu,tako,EMERALD,0,86,15,55,17.4,64.0
1554,高速ダブルポロ,0000,EMERALD,0,191,29,104,15.2,54.5
1555,ehho ehho,ehho,EMERALD,0,81,8,53,9.9,65.4
1556,マホロア,4088,EMERALD,0,116,9,69,7.8,59.5
1557,lily,928,EMERALD,0,87,18,51,20.7,58.6
1558,Jakadesu,2296,EMERALD,0,132,21,77,15.9,58.3
1559,kabechi,3435,EMERALD,0,63,14,39,22.2,61.9
1560,ぷりん,4556,EMERALD,0,150,23,78,15.3,52.0
1561,TKG,tkk,EMERALD,0,138,17,82,12.3,59.4
1562,sashimi,3232,EMERALD,0,74,15,44,20.3,59.5
1563,mitsugood,3048,EMERALD,0,332,24,168,7.2,50.6
1564,Ayaya,5101,EMERALD,0,129,25,74,19.4,57.4
1565,opam,777,EMERALD,0,27,12,22,44.4,81.5
1566,红温小枣,1122,EMERALD,0,160,34,94,21.2,58.8
1567,NJR Tempest,5760,EMERALD,0,176,18,91,10.2,51.7
1568,ふぇむ,JP1,EMERALD,99,164,29,85,17.7,51.8
1569,aru,3194,EMERALD,99,139,14,76,10.1,54.7
1570,moQey,JP1,EMERALD,98,101,15,59,14.9,58.4
1571,ONUKING,ONON,EMERALD,97,158,19,85,12.0,53.8
1572,Kunagi,JP1,EMERALD,97,73,17,44,23.3,60.3
1573,りるそむ,うさぎぐみ,EMERALD,96,70,13,43,18.6,61.4
1574,きーな,7774,EMERALD,96,157,19,85,12.1,54.1
1575,spadeokayu,JP1,EMERALD,95,159,29,80,18.2,50.3
1576,M1nE7,6133,EMERALD,95,48,11,33,22.9,68.8
1577,口だけ千人長,1000,EMERALD,93,44,10,33,22.7,75.0
1578,からぶり,JP1,EMERALD,93,135,12,76,8.9,56.3
1579,Raytan,6866,EMERALD,93,169,17,85,10.1,50.3
1580,EIGO,JP1,EMERALD,92,137,16,71,11.7,51.8
1581,basis9,JP1,EMERALD,92,79,12,51,15.2,64.6
1582,夜明けの星バーノ,61083,EMERALD,92,153,13,84,8.5,54.9
1583,Daizin,6669,EMERALD,91,131,23,79,17.6,60.3
1584,mogio83,JP1,EMERALD,90,246,32,119,13.0,48.4
1585,もふもふきゃっとぷりん,もふもふ,EMERALD,90,197,15,111,7.6,56.3
1586,赤坂秀樹,shin,EMERALD,90,104,19,55,18.3,52.9
1587,Lan Phương,VNer,EMERALD,89,174,34,90,19.5,51.7
1588,eXz,222,EMERALD,89,62,17,36,27.4,58.1
1589,窝似逆蝶,36234,EMERALD,89,115,19,64,16.5,55.7
1590,hachimitsumekiri,JP1,EMERALD,89,103,13,55,12.6,53.4
1591,Furusawa Ryo,0522,EMERALD,88,137,28,71,20.4,51.8
1592,fml429,94657,EMERALD,88,133,24,76,18.0,57.1
1593,junpocho,JP1,EMERALD,87,121,14,72,11.6,59.5
1594,gos999,JP1,EMERALD,86,117,10,71,8.5,60.7
1595,SORAMAME,BRGD,EMERALD,86,226,25,128,11.1,56.6
1596,Lost Robin Rondo,0930,EMERALD,86,120,13,71,10.8,59.2
1597,NecomancerRIN,ZTMY,EMERALD,85,209,27,108,12.9,51.7
1598,keemafish,JP1,EMERALD,85,57,15,39,26.3,68.4
1599,stubby7,JP1,EMERALD,85,64,16,39,25.0,60.9
1600,kapi,7178,EMERALD,85,130,26,70,20.0,53.8
1601,chabosuki,0330,EMERALD,85,224,29,111,12.9,49.6
1602,DuyThanh,1998,EMERALD,85,153,22,83,14.4,54.2
1603,VK KIM,JP1,EMERALD,84,249,34,127,13.7,51.0
1604,hunger668,JP1,EMERALD,84,152,19,80,12.5,52.6
1605,hummingbird,1126,EMERALD,84,146,16,78,11.0,53.4
1606,Prep Coin GG,Rogue,EMERALD,84,38,11,28,28.9,73.7
1607,shin0707,54072,EMERALD,84,96,17,57,17.7,59.4
1608,ろってぃ,OOO,EMERALD,83,89,21,53,23.6,59.6
1609,ぐりん,ぐりん,EMERALD,83,70,8,42,11.4,60.0
1610,amyacha,0909,EMERALD,83,120,20,66,16.7,55.0
1611,磨きにしん,4507,EMERALD,82,151,16,82,10.6,54.3
1612,リパブリック賛歌,JP1,EMERALD,82,121,20,74,16.5,61.2
1613,ぱ お,PAO,EMERALD,82,147,19,84,12.9,57.1
1614,Nica,JP01,EMERALD,82,94,17,49,18.1,52.1
1615,虹色ピクミン,オリマー,EMERALD,82,49,17,33,34.7,67.3
1616,Ace Akane,JP1,EMERALD,81,53,11,36,20.8,67.9
1617,cefon,JP1,EMERALD,81,116,29,59,25.0,50.9
1618,かぷりこ,7639,EMERALD,81,124,22,67,17.7,54.0
1619,jakoooooooooo,JP1,EMERALD,80,148,25,79,16.9,53.4
1620,Cuatro123,JP1,EMERALD,80,132,19,73,14.4,55.3
1621,お台場向上委員会,36968,EMERALD,80,166,10,88,6.0,53.0
1622,りつは,JP1,EMERALD,79,142,27,73,19.0,51.4
1623,juventino,JP1,EMERALD,78,162,19,89,11.7,54.9
1624,紅乃うさ,neba,EMERALD,78,200,16,104,8.0,52.0
1625,マクド難民,JP1,EMERALD,78,120,18,66,15.0,55.0
1626,wood,9779,EMERALD,78,80,16,49,20.0,61.3
1627,OnMyW41,OMWAY,EMERALD,76,73,14,45,19.2,61.6
1628,0m0chi,JP1,EMERALD,75,129,19,73,14.7,56.6
1629,タツオノトシゴ,321,EMERALD,75,108,18,60,16.7,55.6
1630,ぅわお,123,EMERALD,75,138,20,75,14.5,54.3
1631,veritra,JP1,EMERALD,75,69,15,39,21.7,56.5
1632,O123456789,JP1,EMERALD,75,133,17,81,12.8,60.9
1633,成瀬あかり,664,EMERALD,75,81,11,54,13.6,66.7
1634,青い残響,LCBB,EMERALD,75,98,9,58,9.2,59.2
1635,53拾いのおっさん,JP1,EMERALD,75,194,27,98,13.9,50.5
1636,smokeGPT,juo,EMERALD,75,115,18,64,15.7,55.7
1637,Mainichi,JP1,EMERALD,75,135,13,76,9.6,56.3
1638,Bobuuuuuuuuuuuu,JP1,EMERALD,75,64,12,41,18.8,64.1
1639,DARUS02,JP719,EMERALD,75,151,26,85,17.2,56.3
1640,underhill,215,EMERALD,75,133,17,70,12.8,52.6
1641,42Mbps,504ms,EMERALD,75,68,14,40,20.6,58.8
1642,おさゆわり,JP1,EMERALD,75,89,16,51,18.0,57.3
1643,tamtam,8447,EMERALD,75,59,16,35,27.1,59.3
1644,MèoNgao,2701,EMERALD,75,373,48,178,12.9,47.7
1645,からたべ,8208,EMERALD,75,130,20,74,15.4,56.9
1646,miyoshi,9530,EMERALD,75,161,25,86,15.5,53.4
1647,tsubumelon,15786,EMERALD,75,102,19,61,18.6,59.8
1648,ごーや,1992,EMERALD,75,159,24,85,15.1,53.5
1649,s4tiva,420,EMERALD,75,275,32,134,11.6,48.7
1650,wqiK,Allmb,EMERALD,75,91,14,56,15.4,61.5
1651,華やかな服を着たウサギ,7777,EMERALD,75,162,29,85,17.9,52.5
1652,アニマ部隊被せます,1104,EMERALD,75,166,19,93,11.4,56.0
1653,たとえ灰になっても,427,EMERALD,75,94,15,56,16.0,59.6
1654,Jammy bastard,1102,EMERALD,75,107,13,56,12.1,52.3
1655,aiee,4054,EMERALD,75,139,18,76,12.9,54.7
1656,21489751309,11245,EMERALD,75,186,38,98,20.4,52.7
1657,zerojay,JAPAN,EMERALD,75,122,28,64,23.0,52.5
1658,Uwo,912,EMERALD,75,113,25,64,22.1,56.6
1659,らがまふぃん,JP1,EMERALD,74,122,18,62,14.8,50.8
1660,クラーク博士,JP1,EMERALD,74,128,21,73,16.4,57.0
1661,9luv4,1925,EMERALD,74,104,13,60,12.5,57.7
1662,Ria,8207,EMERALD,74,161,15,93,9.3,57.8
1663,WhitePonyTJ,JP1,EMERALD,74,341,60,179,17.6,52.5
1664,kpkp,4430,EMERALD,74,233,31,122,13.3,52.4
1665,leehw,3513,EMERALD,73,56,10,38,17.9,67.9
1666,TonoNyo,3872,EMERALD,73,154,19,79,12.3,51.3
1667,SimesabaMonster,JP1,EMERALD,72,259,42,125,16.2,48.3
